symptom,cnt
skin burning,2573
Exposure to homicide,2560
need to gamble with increasing amounts of money,2555
No Sexual Problems,2549
excessive sleepiness,2546
belief that born the wrong sex,2538
"bears grudges, unforgiving of insults or slights",2533
mute at home,2533
weight loss > 10 lbs.,2528
eckokinesis (imitation of other's movement),2525
marked impairment in functioning,2524
Migraine,2522
"lost job, relationship or education due to gambling",2504
Increased social withdrawal.,2492
Stressful/hostile work environment,2492
decrease in concentration,2486
barking,2479
often has subjective feeling of restlessness,2473
"restricted, repetitive and stereotyped patterns of behavior interest and activities",2467
"hair-pulling, eyebrows",2467
"errors in sound production, use, representation",2459
often makes careless mistakes,2457
over-exercise,2448
Hypervigilance.,2428
obsessive compulsive disorder symptoms,2415
perceptual disturbance,2412
unable to discard worn-out objects,2412
Constant verbal arguments,2410
Family,2408
hypokalemia,2408
Exercises regularly,2383
limited expressive or receptive language skills,2380
dental erosion,2379
job dissatisfaction,2370
Lack of education,2364
bizarre delusions,2355
significant weight gain,2344
Legal,2333
with constipation and overflow incontinence,2328
personality change anxious,2326
worry about panic attack,2313
fidgets,2306
Acute non-life threatening med condition,2303
desire to live or be treated as the other sex,2303
decrease ability to pay bills,2298
Abusive/Chaotic home,2294
Discord with siblings,2292
Lack of family support,2283
other akathisia symptoms,2262
ruminations,2259
impaired ability copy numbers,2259
Suicide of Family Member,2258
emaciation,2231
wishes he/she were dead,2227
non-restorative sleep,2212
joint pain,2210
unable to sit still,2204
No Developmental Problems,2204
inappropriate sexual behavior,2186
anxiety/ avoidance of- attending social gatherings,2186
lack of experience acquiring and maintain employment,2184
enemas to prevent weight gain,2178
personality change depressed,2174
maladaptive pattern of inhalant use,2169
Conflicts over money,2148
encopresis without constipation and overflow incontinence,2148
enduring pattern causes distress,2147
Lack of vocational skills and experience,2144
"Psychological distress, expressed in language or behavior, at exposure to reminders of the trauma.",2144
Headaches/Migraines,2140
suicidal threats,2139
decreased heart rate,2137
nightmare with awakening,2134
nystagmus,2132
despairing mood,2129
anger out of proportion to precipitating stressors,2123
"loss of social skills, or adaptive behavior",2122
rapid pulse (> 100 BPM),2118
Relational,2118
personality change apathy,2117
other anxieties/worries,2116
sexually seductive/provocative behavior,2110
depressed,2109
Abusive Atmosphere at home,2106
blurts out answers,2103
No Neonatal Problems,2094
mute at relatives,2090
rambling speech,2083
catatonic behavior,2077
difficulty concentrating,2075
external motivation,2071
problems associated marriage,2070
detached,2062
poor relationship with spouse,2053
No Family Problems,2043
Exposure to war,2038
repetitive use of language,2034
Juvenile Delinquency,2032
No Environmental Problems,2026
repeated desire to be other sex,2024
disruption of family by divorce,2016
shortened sentences,2003
Housing,2001
Unsafe housing,1993
loose stools,1989
Limited resources for payment,1987
change in cognition - delusions,1986
violent/homicidal ideation,1985
dissociative symptoms (amnesia loss of consciousness),1982
somatic symptoms,1982
pressure to use substance by other,1969
Seizures,1966
anxiety about interacting with strangers,1964
pacing,1963
Neglect/Abuse,1958
nocturnal gasps,1957
Section 8 Housing,1948
significant weight loss,1944
dry skin,1928
Restricted range of affect.,1920
participates in high risk behavior and activities,1916
chest pain,1913
sleep drunkenness,1910
Unsupportive Family,1901
"hair-pulling, eyelashes",1894
poor relationship with children,1893
tension,1888
Sleep Disturbance Unspecified,1886
inflated self-esteem,1882
head injury,1873
commits illegal acts to finance gambling,1872
word recall difficulties,1867
exposure invokes a panic attack,1861
non-compliance secondary to expense,1854
Eviction notice received,1838
delay in age began using communicative phrases,1830
impaired memory (retrograde amnesia),1822
No legal issues,1820
Violence towards family members,1818
local pain syndromes of lower limbs,1814
Alcohol/Drug Environment,1811
quit job,1811
worry about health,1809
Stop looking for a job,1807
extremity pain,1803
physical appearance to draw attention to self,1802
exposure to trauma- bodily harm,1794
pervasive distrust and suspiciousness of others beginning by early adulthood,1788
anxiety/worries about losing control,1785
excessive motor activity,1784
feeling unsteady,1765
Lack of age appropriate social skills,1758
threat of job loss,1752
words produced with excess physical tension,1749
addicted to a substance,1744
decrease academic performance,1741
delays in sentence structure,1734
No Health Problems,1732
disruption of family by separation,1729
anxiety about being in crowds,1723
loss of consciousness,1719
No Financial Stressors,1713
social problems,1712
argumentative,1709
conviction that feelings and relations are of other sex,1701
recognizes obsession or compulsion are excessive,1701
Recent injury,1700
lacrimination or rhinorrhea,1699
anxiety disorder,1689
anxiety about public speaking,1686
person becomes oriented and alert with no impairment to mental activity,1685
anxiety about other social situations,1683
disruption of family by estrangement,1681
Family history of legal problems,1679
poor handwriting,1669
persistent eating of nonnutritive substances,1660
hyper,1652
Academic problems,1650
recurrent failure to resist impulse to steal objects,1649
increased lability,1646
physical abuse of a child,1642
auditory hallucinations threatening,1642
Irritability or tantrumming.,1623
"Disability of mobility (standing, walking, etc.)",1615
intense arousal involving observing inspecting person disrobing or engaging in sexual activities,1614
exposure to trauma- experience or witnessed trauma,1611
impairment in attention,1607
other movement symptoms,1604
"marked, persistent fear of an object/situation",1604
indifference,1596
avoidance,1596
sleeps all day,1595
violent thoughts present,1593
long term goals unknown,1591
avoid stimuli about trauma- thoughts,1590
mouth tremor,1585
worry about losing control,1583
recurrent panic attacks,1582
written achievement as measured by standardized test is substantially below age/IQ expectations,1577
Extreme poverty,1577
Death or loss of friend,1566
Significant other not supportive,1555
emotionally abused,1551
perceives relationships as more intimate than others do,1549
preoccupations,1547
blames others for his/her misbehavior,1542
Health,1540
Infidelity,1539
chronic physical illness,1533
change in cognition - language deficit,1525
personality changes,1518
in postmenarcheal females amenorrhea (>= 3 cycles),1507
re-experiencing trauma (flashbacks),1507
No Occupational Problems,1503
other expressive symptoms,1502
schizophrenia,1497
Allegations of abuse,1496
Lives in a shelter,1494
anxiety disorder symptoms,1490
type of friends,1489
suicidal thoughts,1487
paranoid ideation,1471
suicide attempt- by cutting oneself,1471
repeated awakenings with panicky scream (predominantly in first third of sleep),1465
Diabetes Mellitus Type II NIDDM,1460
violent thoughts with intent,1458
irritating,1452
miserly spending,1445
other neglect of a child,1441
simplified grammatical structure,1436
Problems associated with divorce,1432
non-compliance secondary to side effects,1430
Removal from the home,1428
unsuccessful effort to reduce substance use,1428
"Efforts to avoid activities, places, or people that arouse recollection of the trauma, including efforts to avoid thoughts, feelings, and conversations associated with the trauma.",1425
concern with dirt or germs,1424
breaking and entering,1421
non-bizarre delusions,1419
Problems with peers,1417
rhinorrhea,1416
muscle pain,1410
pupillary dilation,1409
numbness,1405
use of unusual word order,1404
disheveled/inappropriate attire,1402
sexually promiscuous,1398
angry mood,1394
sexually abused,1389
audible or blocking (filled or unfilled pauses in speech),1381
auditory hallucinations of multiple voice,1377
enduring pattern is stable of long duration,1374
difficulty understanding types of words,1372
Pressure to use substance by other,1362
lack of interest,1359
poor hygiene,1356
motoric immobility,1353
eating more than normal,1352
stressful work schedule,1351
Restlessness or feelings ikeyed upi or ion edge.i,1349
repeated awakenings predominantly in second half of sleep) with recall of frightening dreams,1349
lacrimation,1348
decreased hygiene,1346
Absence of High School Diploma (GED),1344
anxiety/ avoidance of- other social situations,1342
hypothermia,1342
"Recurrent and intrusive recollections outside play. That is, repeated statements or questions about the event that suggest a fascination with the event or preoccupation with some aspect of the event. Distress is not necessarily apparent.",1339
expressive and receptive language achievement as measured by standardized test is substantially below age/IQ expectations,1333
enjoys nothing,1330
hypothyroid,1325
intense dysphoria,1323
vocabulary error,1308
tearful affect,1303
autonomic instability,1302
alogia (poverty of speech),1300
other phase of life problems,1299
without amenorrhea or amenorrhea for <=2 cycles,1291
spinal pain of cervical and thoracic regions,1289
major depression,1288
Sibling with psychiatric diagnosis,1287
bradycardia,1286
"Posttraumatic play. Play that (1) represents a reenactment of some aspect of the trauma, (2) is compulsively driven, (3) fails to relieve anxiety, and (4) is more literal and less elaborate and imaginative than usual.",1285
anxiety about other performance situations,1278
other cleaning or washing,1271
preoccupation with getting rid of primary or secondary sex characteristics,1269
seizures or coma,1266
linguistic categorization,1264
other body part's appearance,1261
"pancreatitis, chronic",1258
tremor in limbs,1252
anxiety/worries about appearance,1246
hepatitis,1244
vomiting,1240
Lack of childcare,1238
Health problems in family,1237
paresthesias,1235
self-mutilation,1234
pain symptoms localized to upper limbs,1234
loss of drivers license,1234
other communication symptoms,1223
Bankrupt,1223
omission of critical parts of sentences,1219
substance dependence,1218
thinking about death,1218
trauma involved threatened death or bodily harm,1217
delay in age began using single words,1217
inadequate school environment,1214
non-compliance secondary to mental illness,1213
Drug Court,1211
anxiety about dealing with authority figures,1210
hypoactive sexual desire causes significant distress or interpersonal difficulty,1208
alcohol use,1204
Single parent,1204
sensory loss (lack of pain sensation or touch sensation ),1199
sleep deprivation,1197
Crime,1193
Diabetes Mellitus Type I IDDM,1192
"checking locks, stove, appliances, etc.",1192
emotional or behavioral symptoms in response to a stressor,1191
"visceral pain syndromes to trunk (chest, abdomen, rectum, genitalia, perineum)",1190
Head Injury,1188
other abuse,1187
Normal Developmental Milestones,1186
suicide attempt- other,1175
Socially awkward,1173
despairing,1173
Exaggerated startle response.,1173
transient hallucinations,1173
"pleasure, gratification/relief at time of theft",1169
"hair-pulling, other/unspecified regions",1169
bipolar disorder symptoms,1168
generalized pain syndromes,1164
Conflicts over child rearing,1163
On parole/probation,1153
neck stiffness,1152
paralysis or localized weakness,1150
clumsiness (children),1150
lack of empathy,1148
grand mal seizures,1143
suicidal thoughts no intent,1142
syncope,1141
hypercholesterolemia,1141
Significant other threatened by recovery,1139
Partner Infidelity,1139
anxiety about being heard by others while speaking on phone,1134
metabolic alkalosis,1134
homocidal or violent behavior,1134
suicidal thoughts with plan,1128
illiteracy,1127
PTSD,1127
defiant,1118
alcohol,1112
coordination problems interfere with academic/daily living activities,1112
Acculturation Problem,1110
avoid stimuli about trauma- activities,1106
problems with entering school,1104
involuntary rhythmic movement of tongue,1104
sleep paralysis,1103
inability to initiate a conversation,1103
anxiety about expressing disagreement/disapproval,1098
difficulty acquiring new words,1096
enduring symptoms,1095
anxiety about performance in public,1094
dislikes work,1093
exposure to trauma- rape,1092
unsubstantiated fears of on infidelity of spouse,1090
frequent passing as the other sex,1088
increased tension before theft,1087
pain symptoms localized to head and neck,1086
"intense fear, and signs of autonomic arousal",1083
acute physical illness,1083
history of traumatic brain injury,1081
constricted affect,1080
exaggerate achievements and talents,1079
repeated lying for profit/pleasure,1069
often inappropriately runs about,1069
amphetamine,1068
INvoluntary commitment,1065
excessive exercise,1061
impairment judgment,1057
victim of crime,1045
maladaptive behavior affect medical condition,1037
"recurrent behaviors, or mental acts",1033
fear cued by specific social situations,1033
recurrent suicidal gestures,1032
mood labile,1032
Sleep is disrupted..,1028
absolute,1027
Operating While Intoxicated,1026
Hypothyroidism,1026
amnesia or history of amnesia,1022
Blended/extended family problems,1022
often actively defies adults' requests/rules,1021
language barrier,1021
osteoporosis,1020
Engages in a regular routine,1019
problems with starting a new career,1018
Home environment is unsafe at this time,1017
major depression symptoms,1017
Absent parent,1017
EEG abnormal,1016
other substance symptoms,1015
Verbally aggressive behavior,1013
laboratory or imaging evidence of cerebrovascular disease,1011
Living with an active addict,1010
Insufficient welfare support,1006
discord with non-family caregivers,1004
concern with illness or disease,1004
cardiac arrhythmias,1003
peripheral edema,1002
preoccupation with fear/idea of having a disease,1001
other parkinson symptoms,994
disturbance in sleep wake cycle,994
stress related physiological response affects medical condition,992
No Neonatal Problems Pregnancy,992
enlarged ventricles,990
diuresis,989
Hospitalized,988
obsessions or compulsions take more t than 1 hour a day,984
Environment,984
poor athletic ability,982
Lack of Job Skills,980
compulsive overeating,975
discrepancy between symptoms and objective findings,975
anxiety/worries about going crazy,974
other receptive difficulties,974
Rampant drug use at work,974
No stable contact with siblings,971
job change,971
"Withdraws emotionally showing lethargy, sad facial expression and lack of interest in age-appropriate activities",970
attempts at alternative mode of communication,966
auditory hallucinations of single voice female,964
exposure to trauma,960
uncertain about career choice,956
Threat of Incarceration,955
avoid stimuli about trauma- people,953
parent-child relationship problem,952
can't sit still,949
gambling,949
"difficulty remembering days, dates, time",948
"Disturbed intensity of affect, reversed affect or inappropriate affect for the situation: Over-intense emotional expression, such as outbursts of anger, Under-intense emotional expression, such as blandness or apathy, Reversal of affect or inappropriate affect, such as laughing when negative emotions would be appropriate",944
on edge,938
lanugo,937
mathematics achievement as measured by standardized test is substantially below age/IQ expectations,936
Lack of Vocational Skills,936
erectile dysfunction,935
neurological signs or symptoms,932
impaired short term memory,931
avoidance of/ distress from- being in a crowd,930
qualitative impairment in social interaction,927
preference for friends of the other sex,919
Overcrowded home environment,918
Lack of experience acquiring and maintain employment,917
depressed affect,914
rabbit mouth,914
uncooperative,913
irritable affect,913
Patient lives in unfavorable environment,910
eating sand/dirt,909
quick to react angrily to perceived insults,909
seizure/s,908
rage,907
Acting out children,902
unpredictable agitation,899
discord with neighbors or landlord,897
extreme negativism,892
fatigue or loss of energy nearly every day,892
"Markedly diminished interest or participation in significant activities, including play, social interaction and daily routines.",887
self-hating,882
enlarged parotids glands,881
excessive spending,880
"In face of reminders of the loss, shows marked disturbance.",879
other external incentive,878
multiple personalities,877
impaired ability to recall new material,877
evidence of weight loss,876
poor parenting skills,876
"difficult to control anxiety, worry, apprehension",874
"Recurrent episodes of flashbacks or dissociation. That is, reenactment of the event without any sense on the child's part as to the source of the ideas. The behavior is dissociated from the child's intentionality or sense of purpose. This symptom may also present as staring or freezing.",874
facial appearance,872
Occupational,872
Upcoming trial,871
worry about going crazy,869
Occupational dissatisfaction,865
other physical symptoms,865
hypoventilation,864
hypophosphatemia,863
withdrawal,863
limited varieties of sentence types,862
anxiety about entering a room,861
hyperamylasemia,861
paranoid behavior,860
fantasies of ideal love,860
metabolic acidosis,856
elevated BUN,855
physical abuser,854
Fatigability.,851
hip's appearance,850
recognition that thoughts are product of ones own mind,849
often squirms in seat,845
efforts to control or stop impulse,844
anenergy,840
pain symptoms localized to lower limbs (hip and legs),836
often on the go or acts as if driven by a motor,835
hemiplegia,835
cleaning objects around the house,834
involuntary athetoid movement of tongue,833
Lack of privacy at home,831
Disturbance of behavior,830
leukopenia,825
repeated sleep walking (predominantly in first third of sleep),823
blunted affect,819
multiple identities,817
Back pain (thoracic),816
coordination problems in excess of those expected from IQ level,812
negativistic,812
avoid stimuli about trauma- feelings,808
day time sleep episodes,806
expects to be recognized as superior,804
limited varieties of grammatical structure,803
strong willed,802
Social Skills Impaired,799
anxiety or depression,799
fear of acting on unwanted impulses,799
Unknown If Traumatic Problems,799
difficulty with complex behavior,797
deficit or hypoactive sexual desire or fantasy,792
Living with extended family,791
drowsiness,789
Mild degree of interpersonal problems,787
Inadequate clothing,786
error in tense,784
fear and anxiety/ avoidance- other,783
contrary,780
other feigned psychiatric symptoms,778
difficulty using community resources,776
anxious affect,773
intolerance to many foods,773
"intense behaviors involving being humiliated beaten, bound, or made to suffer",771
amnestic for episode,771
Major illness in family,768
presyncopal,767
problems with leaving parental control,767
often blames others for his/her mistakes,766
destructive,762
no homicidal ideation,762
emotional liability,761
leaden paralysis,758
problems with literacy,757
facial pain,757
"pancreatitis, acute",756
dizziness,754
guarded attitude,754
Lack of welfare support,753
"recent ingestion of sedative, hypnotic, or anxiolytic",751
often blames others for his/her behavior,750
needing to repeat routine activities,749
Unknown If Sexual Problems,748
suicide attempt-by cutting oneself,748
other acculturation problems,748
lack of cooperation during diagnostic exam,745
peculiarities of voluntary movement,738
Drug abuse,738
eating wood/plants,737
lies to obtain goods/favors,736
tolerance,735
genital pain during sexual intercourse,735
piloerection,734
re-experiencing of trauma,733
little interest in sexual experiences with others,732
difficult adjustment to life-phase transition,731
anxiety about making eye contact,731
unable to have fun,729
pain cervical region,727
eating starch,726
failure to gain weight,725
"para-suicidal gestures, self-mutilation",724
Significant other a dealer,723
transient cross-dressing,720
unhappy with career choice,719
Behind in loan payments,718
expansive affect,716
Problems associated marriage,715
See/feel/hear things that arent there,712
can only be understood by special people,711
maternal substance abuse,711
"hair-pulling, pubic",710
emotional neglect of a child,710
oriented x 4,709
Acute life-threatening med condition,709
fear cued by specific social situation or object,704
relative unresponsiveness to efforts of other to comfort,703
Shows diminished range of affect,700
non-compliance secondary to cultural beliefs,700
living with a dealer,700
anxious mood,694
skin/orifice picking,692
other psychiatric symptoms,692
delay in age began babbling,690
bloating,689
discord with boss or coworkers,688
"recurrent thoughts, impulses or images",687
Victim of Bullying,685
motor vehicle accidents,685
IV Drug Use,685
persistent cross-gender identification,683
blames others for his/her mistakes,683
Living with a dealer,682
"while sleep walking blank stare, unresponsive to communications, difficult to wake",682
incoherence,679
suicide attempt- by hanging,677
sleep disruption leading to hypersomnia,677
need for attention,675
social anxiety with paranoid fears,674
Disturbance of affect,673
monosyllabic whole-word repetitions (e.g. i-i-i-i see him),672
spinal pain of lumbar sacral and coccygeal regions,668
prolonged sleep episodes,668
difficulty planning,667
memory loss,664
Inadequate financial resources to pay for hobbies/leisure activities,664
other gender identity symptoms,662
inattentive,657
behavioral disturbance,655
avoidance of/distress from- being in a crowd,654
Malnutrition,651
inadequate social services,651
other suspicious circumstances,645
"excess concern about right and wrong, or morality",645
insight poor,645
loss of social engagement early in course of disorder,644
Difficult work conditions,638
sleeps too much,637
Monogamous relationship,636
Alcohol/Drug dependence,634
decoding written problems into mathematical symbols,634
unable to enjoy life,634
sleep talking,634
other substance use,633
suicidal thoughts present,632
inadequate health insurance,631
get up and go,628
"para-suicidal gestures, self mutilation",628
avoid stimuli about trauma- conversations,627
disinhibited,626
no details of dreams and amnestic for episode,624
Bereavement,624
idiosyncratic language,623
oxygen desaturation,622
skin's appearance,621
social anxiety with negative evaluation,620
restless legs,620
Running away,620
paranoid,620
personality disorder,618
psychological factors interfere with the treatment of a medical condition,618
sleep walking,616
thought disorder symptoms,613
Conflicts over extended family,606
recurrent detachment from one's own mental processes,605
congruent mood,602
worthless,600
delay in age at beginning of crawling/bottom shuffling,600
discord with social worker,599
avoid stimuli about trauma- other,598
pleasure seeker,598
menstrual pain,597
recurrent dreams/nightmares reliving trauma- hallucinations,596
hand-washing,595
self induced vomiting,594
"need to touch, tap, or rub",594
dissociative symptoms,594
poor work ethic,592
fear of being responsible for terrible things happening,590
Discord with teachers or classmates,588
Other Crimes,584
cyanosis,584
with behavioral disturbance,584
shouting,581
partner infidelity,578
pervasive lack of reactivity,575
stealing for stealing sake,575
"pain in the anal, perianal, genital region",574
concern about getting sick due to contamination,574
other sexual abuse of an adult,573
auditory hallucinations of a single voice male,572
anxiety about being outside the home alone,569
can't get to sleep,569
tactile hallucinations unspecified,566
expressive language achievement as measured by standardized test is substantially below age/IQ expectations,562
sexual symptoms,561
unusually repetitive,561
easily distracted,560
recurrent dreams/nightmares reliving trauma- illusions,559
discord with counselor,557
Mental illness of spouse,555
lack of pleasure,555
pain in the pelvic region,555
avoid stimuli about trauma- places,554
"hair-pulling, axillary",553
suicidal thoughts with intent,552
actively defies adults requests/rules,551
Underachievement,548
exposure to trauma- threat to body/image,548
neglect of child,547
illusions,547
deja vu,547
other tardive dyskinesia symptoms,547
impaired expressive and receptive language develop with psychomotor retardation,545
enduring deviation of inner experience and behavior,543
Frequent periods of irritability and tearfulness,543
withdrawal - developed clinically significant distress,541
deterioration in hygiene,539
avoid work,538
thought control,536
pushy,536
edgy,535
Disability,534
High activity levels,534
"Recurrent, excessive distress when separation from home or major attachment figures occurs or is anticipated.",532
anxiety about eating in front of others,530
Lower back pain,525
High need for motor discharge,525
avoid obligations,524
anxious,522
anxiety about conversing on the telephone,522
sexual excess,521
Persistent or excessive fear or reluctance to be alone or without major attachment figures at home or without significant adults in other settings.,520
blacking out,520
disheveled,519
Seeking constant contact with people and objects,516
"fear is marked, persistent, and excessive",516
Jail or Correctional Facility,516
suicide of family member,516
denial of seriousness of current low body weight,515
euphoria,513
images of moving objects,513
para-suicidal ideation,513
rapid shift in view of others,511
eating disorder symptoms,509
other repeated behaviors,509
flashes of color,509
interpersonal sensitivity,507
Back pain (Cervical),506
desire for games stereotypical of other sex,506
repeated failure to honor financial obligations,506
eating garbage,504
other flashbacks,503
psychological factors are an additional health risk,503
micropsia,502
Muscle tension.,502
false perceptions of movement in peripheral visual fields,502
after images,502
macropsia,502
anorexia,502
no suicidal ideation,501
Chronic Obstructive Chronic Bronchitis (COPD),501
qualitative impairment in communication,501
intensified colors,501
halos around objects,501
geometric hallucinations,500
Lives on Street,499
Overreactivity to sensory stimuli,499
self-assured,497
thought insertion,494
Premature Birth,493
enduring pattern of pervasive inflexibility,491
urinary retentions,491
lost weight,490
local pain syndromes of upper limbs,490
preference for playmates of the opposite sex,485
unusual mannerism/s,484
fearful affect,481
vindictive,481
"cranial nerve/sensory organ impairment (blindness, double vision, hearing loss)",480
self-hitting,480
Aggressive behaviors,480
daytime sleep episodes,479
"impulsive self destruction  (sexually, substance reckless binge eating)",477
Other health impaired,476
involuntary athetoid movement of extremity,476
forget learned material,475
Disruption of family by divorce,473
"Limited positive affect and excessive levels of irritability, sadness, or fear.",473
hypnagogic hallucinations,471
loss of acquired purposeful hand skills between 5 and 30 months,469
impaired ability to cluster objects into groups,469
reflux,469
"Restricted tolerance for variety in food textures, tastes and smells",467
choreiform movement,466
withdrawal - developed syndrome due to cessation,464
multiple motor tics,464
rectal pain,463
preoccupation with defect in appearance,461
murder,459
pathological denial,459
bulimia,457
diabetes mellitus,456
sleep terror- no recall of nightmare,453
"Depressed or irritable mood most of the day, more days than not",452
Unkempt home environment,451
terminal insomnia,450
Restricted play repertoire,449
Underreactivity to sensory stimuli,449
akathisia,448
Heart Failure,448
psychological symptoms affect medical condition,447
delay in age began walking,446
suicidal thoughts no plan,446
Inadequate housing,444
Seeking stimulation through deep pressure,444
sad,443
other birth complications,442
living alone,442
C-Section,441
Withdrawal from stimuli,437
Fatigability,436
"In infants, lack of responsivity to sensations and social overtures",436
exposure to alcohol and/or drugs in peer environment,435
Problems with teachers/administrators,435
Miscarriage,434
child neglect,434
other ways to prevent or remove contact w/germs,434
reduced sense of awareness,433
"recurrent thoughts, excessive worries",433
Work schedule/childcare conflicts,430
traumatic symptoms,429
anxiety about other things,428
Laid off from Job,427
Stroke,423
Eating is disrupted,423
Suicide of Friend,420
mismatch between sleep-wake cycle and circadian sleep wake pattern,418
Craving for high-intensity sensory stimuli.,417
delay in age able to sit up,415
auditory hallucinations of a single voice female,415
circumlocutions (word substitution to avoid problematic words),415
Diffuse impulsivity,415
spinal pain of lumbar sacral,413
daytime naps,413
difficulty with excessive sleeping either prolonged or daytime,411
Remarriage of the parent,411
shifting values,409
anxiety about- traveling in a plane,409
Single parent family,409
On parole,407
Job change,405
"Cries, calls, and searches for the absent caregiver",404
depends excessively on others,404
cataplexy,403
cultural problems between generation of immigrate,402
obsessive compulsive disorder,402
bizarre fantasies,401
Child Protective Services (CPS) involvement,401
muscle rigidity,401
blindness,400
preference for cross sex roles,400
unknown crimes,398
abnormal thought processing,397
other paraphilia,396
Sexual acting out,396
angry,395
Unknown If Health Problems,394
involuntary athetoid movement of jaw,392
excessive concern with general appearance,392
causally dressed,392
amenorrhea (>= 3 cycles),391
erectile dysfunction causes significant distress or interpersonal difficulty,391
homocidal or violent threats,391
failure to resist impulses to steal objects,390
Laid off from job,390
evidence that cannabis is the etiology of disturbance,389
coordination problems due to medical condition,389
auditory hallucinations of an isolated name being called,388
difficulty with calculations,387
limited communication,387
outspoken,387
Defiance,387
often drops things,386
derailment,386
anxiety about interacting with opposite sex,386
driven,384
rash,384
evidence that etiology is due to the persisting effects of alcohol,383
recent loss in family,382
anxiety about writing in front of others,382
irrational,381
poor recall of trauma,379
recurrent purposeful deliberate fire setting,379
double vision,378
Inability to access healthcare resources,378
apprehension,378
average intelligence,378
tension around or before act,378
Parole violation,376
repeated dressing to be or insistence that they are the opposite sex,376
drowsiness or coma,375
HIV infection,375
psychological factors influence the coarse of a medical condition,374
body rocking,374
No evidence of notable interpersonal problems,373
distress about orientation,373
anxiety about standing in a line,371
problems associated with retirement,370
Absent parent not paying child support,370
"Pancreatitis, Acute",369
binges twice a week for 3 months,368
Recklessness,368
athetoid movement,366
Medication non-compliance,365
lack of supervision by caretakers,364
amnesia,364
refused to maintain body weight,363
anxiety about- being outside the home alone,362
"boys cross-dressing, girls wearing masculine cloths",362
involuntary choreiform movement of tongue,360
Violent Crimes,358
impaired social or occupational functioning,358
impaired use of eye-to-eye gaze in social interaction,358
bipolar,357
Persistent reluctance or refusal to go to sleep without the presence of a major attachment figure,357
denial,354
decreased sexual interest,354
rem sleep behavior disorder,354
Angry outbursts including tantrums in response to sensory stimuli,352
weight less than 85% of IBW,352
excessive concern with a part of the body,347
anxiety/ avoidance of- dealing with authority figures,347
stealing shinning object,347
maladaptive pattern of phencyclidine use,344
shifting opinions,344
Academic,344
persistent and excessive worry about losing attachment figures,343
Relational Problems NOS,342
appropriate affect,340
judgment severely impaired,338
"Negativistic behavior, Examples: persistent fussiness, reflexive negative responses to parental requests or frequent angry outbursts, including tantrums",338
head injuries,337
poor eye contact,334
PTSD symptoms,334
trichotillomania,334
Rarely or minimally seeks comfort in distress.,333
traumatic brain injury,330
Medically Stable,330
rampant drug us in neighborhood,330
without aud/vis hallucinations,328
Lack of attendance,328
distrust,328
echolalia or echopraxia,326
boundless energy,325
gait disturbance,324
excessive concern with household items,322
distress over sexual patterns,322
hypervigilant in social situations,322
touchy/easily annoyed by others,321
inability to attain or maintain adequate erection during sexual activity,321
recent ingestion of cannabis,318
Attempted escape in response to sensory stimuli,317
perseverations,317
Child with disabilities,315
Alcoholic Dementia,314
absence of agoraphobia,314
tremor/s,314
"Reduced or absent social and emotional reciprocity (e.g., reduced affect sharing, social referencing, turn-taking, and eye contact).",314
head banging,313
impaired ability to of counting objects,311
Unknown If Marital Problems,311
other abuse of a child,310
overbearing,310
recent ingestion of opioid,310
marijuana,309
can only be associated with special people,308
violent,307
Overly familiar behavior and reduced or absent reticence around unfamiliar adults.,306
anxiety/ avoidance of- other,306
intense desire involving sexual activity with prepubescent child,306
fear of losing control,306
Hyperthyroid,304
urinary pain,304
terrible occurrences if things are not just right,302
arrested,302
repeated thoughts about needing to save things,301
maladaptive pattern of other substance use,300
self-confident,299
falls asleep during the day,298
weight less than 85% of ibw,297
"Persistent, excessive worry that an untoward event (e.g. getting lost or being kidnapped) will lead to separation from a major attachment figure.",296
fasting,296
repeatedly putting things in order or re-arranging,295
tachycardia,295
"Preference for repetition, absence of change, and, if change is necessary, change at a slow pace",294
checking that you did not make a mistake,293
Increased distractibility in response to sensory stimuli,292
abnormal spasms of muscles neck,291
Motoric agitation in response to sensory stimuli,290
negative attitude,289
doing things to prevent terrible things happening,289
Marked Adjustment Problems with Symptoms,288
other repeated action or ritual,287
Disorganized behavior as a consequence of sensory stimulation,287
cognitive impairment,286
Guardianship,286
blushing,285
problems with regional/geographic customs,285
Alcoholic gastritis,285
Student,284
loss of play skills,281
pronominal inversions,280
occasional depersonalization,280
checking that nothing terrible did/will happen,280
Caretakers with severe medical developmental and mental health issues,279
Willingness to go off with an unfamiliar adult with minimal or no hesitation.,279
forceful,279
loss of motor skills,277
pupillary dilatation,277
involuntary choreiform movement of jaw,276
Unknown If Neonatal Problems,276
Chronic physical illness,275
"Failure, even in unfamiliar settings, to check back with adult caregivers after venturing away.",274
repeatedly hoarding things,274
"lucky, unlucky numbers",273
resentment,273
alert,273
self-dramatization / theatrical,272
involuntary choreiform movement of extremity,272
female aversion towards normative feminize clothing,271
Learning Disability,270
doesn't take responsibility for actions,270
fear of not saying just the right thing,270
Loss of job,269
despondent,268
pervasive pattern of social and interpersonal deficits,268
appearance of poorly coordinated gait or trunk movements after age 5 months,268
judgment moderately impaired,266
recent ingestion of amphetamine,265
Controlling behaviors,264
other aggressive thoughts,263
medico-legal context for presentation,263
digressive,261
recurrent depersonalization,261
poor Grades,261
