symptom,cnt,cluster
significant other a dealer,723,79
other withdrawal symptoms,26,79
withdrawal from stimuli,437,79
illogical thought process,83,79
inattentive thought process,43,79
withdrawal  sweating  rapid pulse  etc  ,97,79
significant weight loss,1944,79
withdrawal   developed syndrome due to cessation,464,79
insomnia  initial,14199,80
initial euphoria,7,80
insomnia  difficulty falling or staying asleep,312019,80
terminal insomnia,450,80
initial insomnia,4318,80
insomnia  middle,8040,80
middle insomnia,3816,80
insomnia  terminal,4793,80
insomnia or hypersomnia ,214,80
terminal illness,29,80
lack of experience acquiring and maintain employment,2184,81
withdraws emotionally showing lethargy  sad facial expression and lack of interest in age appropriate activities,970,81
lack of job skills,980,81
lack of interest,1359,81
lack of childcare,1238,81
lack of vocational skills,936,81
lack of age appropriate social skills,1758,81
lack of vocational skills and experience,2144,81
lack of empathy,1148,81
lack of family support,2283,81
lack of experience acquiring and maintain employment,917,81
intense irritability,2799,82
intense urges involving nonliving objects,158,82
intense fear  and signs of autonomic arousal,1083,82
intense dysphoria,1323,82
intense urges involving sexual activity with prepubescent child,212,82
intense urges involving observing inspecting person disrobing or engaging in sexual activities,208,82
intense arousal involving observing inspecting person disrobing or engaging in sexual activities,1614,82
emotionally disturbed,81,82
intense arousal involving sexual activity with prepubescent child,205,82
emotionally abusive,6,82
disturbed intensity of affect  reversed affect or inappropriate affect for the situation  over intense emotional expression  such as outbursts of anger  under intense emotional expression  such as blandness or apathy  reversal of affect or inappropriate affect  such as laughing when negative emotions would be appropriate,944,82
intense behaviors involving sexual activity with prepubescent child,3829,82
little interest in sexual experiences with others,732,82
intense behaviors involving being humiliated beaten  bound  or made to suffer,771,82
unaffordable fees for little league,2,82
intense desire involving sexual activity with prepubescent child,306,82
normal mood,197,83
normal speech,236,83
aphonia,197,83
iq normal,113,83
normal adl s,42,83
below average iq,62,83
above average intelligence,34,83
normal intelligence,34,83
iq level       to      ,28,83
average intelligence,6,83
iq level       to      ,3,83
use of unusual word order,1404,84
amphetamine use,33,84
opioid use,14,84
cannabis use,9,84
sedative hypnotic use,3,84
cocaine,123,84
failing to use available resources libraries community centers,67,84
substance related disorders,162,84
important actively are given up because of substance use,110,84
cocaine use,183,84
other substance use,633,84
sexually transmitted disease,10,85
sexually dissatisfied,151,85
sexually dissatisfied,1,85
sexually promiscuous,1398,85
sexually abused,1389,85
sexually seductive provocative behavior,2110,85
mute at friends neighbors,4792,86
social support made up off other substance abusing people,4972,86
excessively devoted to work  workaholic ,2786,86
mute at home,2533,86
social support made up off other substance abusing people,17026,86
excessively inhibited social responses,16334,86
inappropriately climbs excessively,3,86
inadequate clothing,786,86
inappropriately leaves seat,3,86
inadequate social support,7733,86
inadequate social support,7394,86
inadequate finances,6205,86
mute in other social situations,8771,86
inadequate housing,3004,86
inadequate school environment,1214,86
mute at school,7640,86
persistently and excessively fearful or reluctant to be alone or without attachment figures at home,10433,86
recurrent  excessive distress when separation from home or major attachment figures occurs or is anticipated ,532,87
recurrent  distressing event recollection,9,87
recurrent allusions to or themes of death or suicide though thoughts  activities  play or behaviors  or attempts at self harm though activities  play or behaviors ,150,87
recurrent dreams nightmares reliving trauma  illusions,559,87
recurrent purposeful deliberate fire setting,379,87
recurrent involuntary spasm of musculature of vagina that interferes with intercourse,2,87
no recurrent thoughts  impulses or images,142,87
recurrent dreams  nightmares reliving trauma  flashbacks,3,87
recurrent thoughts  excessive worries,433,87
recurrent depersonalization,261,87
recurrent excessive distress when separation from home attachment figures occurs,90,87
chaotic atmosphere at home,4,88
foster home,1,88
unsafe sex,3225,88
unsafe housing,1993,88
weapons in the home,1,88
supportive environment,116387,88
unkempt home environment,451,88
overcrowded home environment,918,88
home environment is unsafe at this time,1017,88
unsafe neighborhood,72,88
unkempt,195,88
environment,984,88
unsafe environment,5170,88
hepatitis,110,89
hepatitis a,613619,89
hepatitis b,613654,89
b   deficiency,108972,89
hepatitis c,617366,89
h,1,89
c section,441,89
transvestic fetishisms,15,89
hepatitis with hepatic coma,15,89
hepatitis,1244,89
loose speech,4,90
dysarthic speech,2,90
psychomotor normal,1,90
normal cognition,2,90
normal speech,2,90
maternal alcohol abuse,1,90
language use  single words to simple sentences ,38,90
language barrier,35,90
language barriers,34,90
speech and language delays,7,90
maternal std s,50,91
maternal alcohol abuse,52,91
maternal alcohol abuse,224,91
abuse of drugs alcohol,177,91
laxative abuse,84,91
diuretic abuse,69,91
maternal substance abuse,136,91
enema abuse,17,91
maladaptive pattern of inhalant use,2169,92
maladaptive pattern of hallucinogen use,3426,92
maladaptive pattern of alcohol use,264572,92
maladaptive behavior affect medical condition,1037,92
maladaptive pattern of cannabis use,143624,92
maladaptive pattern of cocaine use,51377,92
maladaptive pattern of multiple at least three substances  not caffeine or nicotine ,54539,92
maladaptive pattern of nicotine use,31367,92
maladaptive pattern of amphetamine use,60568,92
maladaptive pattern of substance use,209912,92
maladaptive pattern of other or unknown substance use,7078,92
maladaptive pattern of sedative hypnotic use,19079,92
maladaptive pattern of opioid use,117875,92
maladaptive pattern of phencyclidine use,344,92
nonbizarre delusions,2,93
paranoid delusions  thought disorders psychiatric signs and symptoms,7,93
persecutory delusions  thought disorders psychiatric signs and symptoms,7,93
delusions  thought disorders psychiatric signs and symptoms,8,93
bizarre delusions  thought disorders psychiatric signs and symptoms,5,93
alogia  poverty of speech   thought disorders psychiatric signs and symptoms,8,93
disheveled inappropriate attire  thought disorders psychiatric signs and symptoms,8,93
erotomania delusions,1,93
visual hallucinations  thought disorders psychiatric signs and symptoms,1,93
incoherence  thought disorders psychiatric signs and symptoms,2,93
delusions  delirium psychiatric signs and symptoms,1,93
anger  thought disorders psychiatric signs and symptoms,5,93
hallucinations  thought disorders psychiatric signs and symptoms,8,93
hallucinations visual  delirium psychiatric signs and symptoms,1,93
lack of psychiatrists,19,94
child with disability,25,94
lack of special education programs,4,94
lack of treatment services,29,94
lack of sex education,5,94
lack of developmentally appropriate make believe play,21,94
apparent lack of interest in exploring properties of object  playing challenging games  or engaging in social interactions,13,94
lack of school activities,1,94
lack of remorse,16,94
lack of communication between home and school,21,94
lack of developmentally appropriate social imitative play,38,94
lack of vocational skills,1,94
not aware of community leisure activities,185,95
drug related crimes,45,95
alcohol drug environment,1811,95
drug court,1211,95
drug related crimes,31,95
drug seeking behavior,10297,95
leisure activities are predominately drug related,4916,95
drug related crimes,21156,95
commits illegal acts to finance gambling,1872,95
drug related crimes,4527,95
drug abuse,738,95
leisure activities are predominately drug related,8023,95
exposure to disaster,3646,96
exposure to robbery,2644,96
exposure to sexual assault,11671,96
exposure to incest molestation,4178,96
exposure to war,2038,96
exposure to sexual assault,11874,96
exposure to other hostility,10106,96
exposure to physical assault,10904,96
exposure to homicide,2560,96
exposure to aod in home environment,8637,96
exposure to incest molestation,6604,96
delusions  dementia psychiatric signs and symptoms,55,97
worthlessness  depression psychiatric signs and symptoms,8,97
indecisiveness  depression psychiatric signs and symptoms,9,97
shared delusions,49,97
extensive guilt  depression psychiatric signs and symptoms,9,97
other psychiatric symptoms affecting relationship,102,97
depression worse in a m   depression psychiatric signs and symptoms,2,97
hopeless  depression psychiatric signs and symptoms,11,97
delusions,19,97
helpless  depression psychiatric signs and symptoms,8,97
oriented x  ,709,98
purging,14134,98
domestic violence,12458,98
argue,83,98
fantasies of grandeur  power  unlimited success  beauty  or ideal love,3645,98
threaten or actual hitting if surprised,83,98
cannabis,81,98
ideas of reference,3631,98
para suicidal gestures  self mutilation,724,98
grunting,3583,98
live in motel,3603,98
mentally healthy,74,98
hungry,74,98
can t remember dreams,75,98
increased irritability  outbursts of anger or extreme fussiness  or temper tantrums ,3600,98
consistent intermittent intentional gestures,77,98
lies to others to conceal gambling,3630,98
recurrent excessive distress when separation from home attachment figures anticipated,12939,98
increased appetite or weight gain,81,98
see feel hear things that arent there,712,98
repeated voiding of urine into bed or clothes,12721,98
decreasede appetite,12620,98
separated,13974,98
hoard,72,98
conjunctival injection,73,98
re experiencing of trauma,733,98
discord with siblings,2292,98
superstitious fears,85,98
lying,11076,98
infrequent housing,10987,98
difficulty making decisions without reassurances,10849,98
monogamous relationship,636,98
uncomfortable being alone,10823,98
decoding written problems into mathematical symbols,634,98
failing grades,10803,98
gambles to escape problems,3817,98
inadequate social services,651,98
ill at ease,103,98
avoidance of distress from  other,104,98
para suicidal gestures  self mutilation,628,98
distracted,107,98
disinhibited,626,98
inter caretaker violence,107,98
bereavement,624,98
oxygen desaturation,622,98
gamble to relieve dysphoria,108,98
inadequate health insurance,631,98
defensive,99,98
dysphoria,99,98
dogmatic,98,98
impaired use of gestures in social interaction,87,98
pica,90,98
impaired motor coordination,91,98
hypersensitive,91,98
sensitive to sounds,93,98
inadequate finances,11640,98
huntington s chorea,72,98
incoherence,679,98
loses items,95,98
mind going blank,3682,98
cps aps involvement,11588,98
needs to be in control,95,98
disturbance of affect,673,98
avoidance of distress from  traveling in a bus,96,98
adequate access to healthcare,97,98
grooming,98,98
suicide attempt  by overdose,3721,98
inadequate financial resources to pay for hobbies leisure activities,664,98
inattentive,657,98
other psychiatric symptoms,692,98
while sleep walking blank stare  unresponsive to communications  difficult to wake,682,98
needing to repeat routine activities,749,98
lies to obtain goods favors,736,98
abscesses,45,98
ruminate,45,98
hypoventilation,864,98
gang affiliation,46,98
gustatory hallucinations,19119,98
social withdrawal,19032,98
concepts applied in unusual ways,48,98
emotionless,48,98
circumstantial thoughts,3407,98
fatigability ,851,98
hip s appearance,850,98
recognition that thoughts are product of ones own mind,849,98
over conscientious,48,98
avoidance of  distress from  traveling in an automobile,48,98
shame,3438,98
switch between idealizing and devaluing people,48,98
chases losses,3457,98
malingering,49,98
can t stay asleep,3464,98
migraine common,45,98
upcoming trial,871,98
increased startle response,3349,98
cramps,20122,98
checking that you did not will not harm others,38,98
enema,38,98
uncooperative,913,98
careless,39,98
crack,39,98
defiance,387,98
seizure s,908,98
rage,907,98
exposure to physical assault,21494,98
high iq,49,98
massive hemoptysis,40,98
arguing,21276,98
markedly diminished interest or participation in significant activities  including play  social interaction and daily routines ,887,98
phobia,42,98
overprotection,20759,98
grossly disorganized behavior,20365,98
other external incentive,878,98
mean,43,98
promiscuous,43,98
suspects world is against him,44,98
perfectionism interferes with the ability to complete tasks,40,98
tolerance,735,98
disturbance of behavior,830,98
other or unspecified hallucinations,17366,98
major illness in family,768,98
presyncopal,767,98
bleeding secondary to ingestion of anticoagulants,61,98
citation,3550,98
destructive,762,98
tightness,3553,98
care giver is overwhelmed,61,98
molested,15556,98
indiscriminate sociability with strangers,15503,98
catalepsy  waxy flexibility ,62,98
mindless,65,98
gang involvement,15148,98
medical concerns for family member,67,98
interjections,3555,98
unknown if sexual problems,748,98
arguments,15003,98
uncoordinated,14919,98
peculiarities of voluntary movement,738,98
beating,14527,98
amnestic for episode,771,98
caretaker sexual abuse,15686,98
superstitions,58,98
other feigned psychiatric symptoms,778,98
erectile  ejaculatory dysfunction,52,98
lack of child care,53,98
coordination problems in excess of those expected from iq level,812,98
negativistic,812,98
disagree,53,98
inattentiveness,54,98
expects to be recognized as superior,804,98
unsteady gait,16701,98
strong willed,802,98
distressing experience involving faith,52,98
shuttling between parents,55,98
illegal activities,55,98
unknown if traumatic problems,799,98
suspicious,15909,98
physical disability,57,98
drowsiness,789,98
sickle cell trait,57,98
grief stricken,15724,98
fear and anxiety  avoidance  other,783,98
contrary,780,98
current fulltime employment,3469,98
presents of agoraphobia,108,98
worthless,600,98
running away,620,98
helpless uncomfortable when alone,222,98
engaged in forgery,224,98
apnea,4563,98
bulimia,457,98
tangential,5929,98
lonely,226,98
runaway,226,98
throat clearing,5861,98
compulsiveness and perfectionism,231,98
infidelity,217,98
cerebellar symptoms  impaired coordination  ataxia ,233,98
unexplained physical symptoms,5667,98
views self as socially inept  personally unappealing  inferior to others,5667,98
childlike silliness,241,98
violence,4670,98
inadequate housing,444,98
significant distress or interpersonal difficulties,242,98
markedly diminished pleasure or interest in all  or almost all  activities more days than not i       examples  initiation of play and interaction with caregivers,243,98
tingling,5608,98
rambling thoughts,244,98
inadequate discipline,233,98
break and entering,246,98
able to contract for safety,5971,98
oculogyric crisis,207,98
misinterpretation of events as having unusual meaning for the person,196,98
subdurmal hematoma,197,98
urinary retentions,491,98
recurrent dreams nightmares reliving trauma,4384,98
hidden or threatening meaning in remarks events,6299,98
concerns or disgust bodily waste or secretions,198,98
conversion,199,98
humiliation,201,98
perceives attacks on character reputation,6244,98
pattern of inflexibility,211,98
calm,202,98
insomnia disturbance symptoms sufficiently severe to warrant clinical attention,202,98
decline in previous functioning,202,98
restless,203,98
reactive,204,98
excessive startle reactions in response to sensory stimuli,206,98
costly medications,207,98
hoarding,207,98
delirium,4544,98
reflux,469,98
dealing drugs,4490,98
diagnosed or treated for mental illness,6325,98
fatigability,436,98
fascination with fire,253,98
cataplexy,403,98
medically stable,330,98
rarely or minimally seeks comfort in distress ,333,98
trichotillomania,334,98
impulsiveness,5226,98
boys cross dressing  girls wearing masculine cloths,362,98
recklessness,368,98
unknown crimes,398,98
discord with family friend,5067,98
depends excessively on others,404,98
distress about orientation,373,98
average intelligence,378,98
double vision,378,98
unwilling to get involved w  people unless certain they will be liked,4997,98
rash,384,98
causally dressed,392,98
driven,384,98
erectile dysfunction causes significant distress or interpersonal difficulty,391,98
derailment,386,98
broken words,4965,98
does not enjoy desire close relationships,5031,98
vivid dreams,5598,98
gait disturbance,324,98
marijuana,309,98
without behavioral disturbance,5545,98
digressive,261,98
other aggressive thoughts,263,98
agitated,4784,98
discord with teachers or classmates,5506,98
despondent,268,98
alert,273,98
stroke,423,98
lucky  unlucky numbers,273,98
takes pleasure in few if any activities,5323,98
family interaction jeopardizes patient s safety stability,5438,98
craving for high intensity sensory stimuli ,417,98
student,284,98
blushing,285,98
circumlocutions  word substitution to avoid problematic words ,415,98
guardianship,286,98
increased distractibility in response to sensory stimuli,292,98
repeatedly putting things in order or re arranging,295,98
arrested,302,98
hyperthyroid,304,98
willingness to go off with an unfamiliar adult with minimal or no hesitation ,279,98
restless legs,620,98
odd thinking or speech,6408,98
geometric hallucinations,500,98
iq level       to approximately   ,130,98
big headed,130,98
threat of incarceration,8201,98
no re experience of trauma,132,98
sniffing,4064,98
caffeine,135,98
intact reality testing,135,98
repeated complaints or expression of physical symptoms when separation from major attachment figures occurs or is anticipated ,136,98
change in cognition   disorientation,4073,98
superficial,130,98
attention intact,138,98
perfectionism,141,98
difficulties with mathematics,141,98
criminal system,7971,98
neck jerking,4085,98
actively defies adults requests rules,551,98
underachievement,548,98
intrusive non violent images,144,98
sense of entitlement,7937,98
sleep disruption leading to insomnia,148,98
mental illness of spouse,555,98
lability,148,98
superior,130,98
regretful,127,98
orderliness,110,98
medical treatment sought,111,98
antisocial behavior,4009,98
overextended,9967,98
hypersexual,4010,98
ideal body weight less than     of expected,3277,98
periodic limb movements,114,98
healthy,115,98
snoring,9632,98
belligerence,128,98
confused,117,98
seasonal,120,98
decrease relationship with co workers,120,98
rejection sensitivity,9053,98
yawning,8934,98
stopped hobbies,123,98
cyanosis,584,98
criminal,124,98
partner infidelity,578,98
litigation,126,98
loose associations,9327,98
mslt show average sleep latency of less than   minutes,192,98
partner relationship problem,149,98
no computer access,151,98
compliant,168,98
para suicidal ideation,513,98
rapid shift in view of others,511,98
adjustment to life cycle transition,168,98
fascination  curiosity  attraction to fire and it situational context,172,98
overconfident,177,98
interpersonal sensitivity,507,98
fluctuating course,6961,98
pounding heart,6929,98
short term memory deficits,166,98
stated age,178,98
no mania  period of persistantly elevated or irritable mood,182,98
persistent reluctance or refusal to go to child care  school or elsewhere out of fear of separation ,184,98
deaf,184,98
false perceptions of movement in peripheral visual fields,502,98
anorexia,502,98
sub average intellectual functioning,189,98
doubts trustworthiness loyalty of friends,6559,98
intensified colors,501,98
acquired speechlessness,191,98
defaulting on legal responsibilities,6857,98
seeks another relationship when one ends,7638,98
indifferent to praise criticism,4295,98
jail or correctional facility,516,98
occupational problems,152,98
deterioration in hygiene,539,98
diffuse attachments indiscriminate sociability inability to exhibit selective attachments,7589,98
fine tremor during attempts to maintain posture,152,98
vandalism,7479,98
edgy,535,98
impulsivity when overloaded by sensory stimuli,155,98
bereavement,7390,98
hyperactive,4243,98
no adverse medical conditions,7214,98
shoulder shrugging,4254,98
high need for motor discharge,525,98
loss of family income,7342,98
threatening,7318,98
spouse beating,7312,98
preoccupation with delusion or frequent auditory hallucinations,7296,98
blacking out,520,98
ganser syndrome  giving of approximate answers ,164,98
seeking constant contact with people and objects,516,98
below average intelligence,164,98
well groomed,157,98
olfactory hallucinations,23268,98
quick to react angrily to perceived insults,909,98
assured,38,98
has been continent of feces at some time,4,98
grudge,4,98
exposure to trauma  experience or witnessed trauma,1611,98
bears grudges,4,98
decreased ability to communicate  adult ,4,98
enrage,4,98
disagreements,4,98
indifferent to injury of others,4,98
long term goals unknown,1591,98
weed,4,98
unreserved,4,98
migraine  idiopathic ,5,98
circumstantial,5,98
difficult work conditions,2680,98
tearfulness,100745,98
death or loss of friend,1566,98
monotone,5,98
unstable relationships switch between idealizing and devaluing people,99680,98
perceives relationships as more intimate than others do,1549,98
preoccupations,1547,98
changes in level of consciousness,4,98
impulsive  self destructive  i e  spending  sex  substance abuse  reckless driving  binge eating ,98210,98
mannerism,4,98
recurrent thoughts are not excessive worries,107460,98
fighting,146657,98
no health problems,1732,98
secondary gain,3,98
fidgety movements of legs,2589,98
uncomfortable when not center of attention,2593,98
threats of survival,3,98
social problems,1712,98
no identifiable emergency contacts,3,98
conviction that feelings and relations are of other sex,1701,98
idealistic,4,98
psychotic features,131716,98
excessive time   effort spent to obtain substance,127097,98
impressionistic speech with little detail,2596,98
squirms in seat,3,98
marked distress in excess of what would be expected from stressor,120828,98
awake,3,98
grossly disorganized or catatonic behavior,119529,98
rambling thought,3,98
combativeness,3,98
hyper,1652,98
recent injury,1700,98
health,1540,98
infidelity,1539,98
checking that nothing terrible did   will happen,5,98
sexually active,79284,98
current living environment is drug free,79284,98
transexualism,7,98
regress,7,98
receives special education services,79284,98
phrases out of context,2842,98
responsibility,7,98
use birth control or protection during sex,79284,98
qualitative impairment in social interaction,927,98
run out of medications,7,98
distorted communication,67458,98
serotonin syndrome,8,98
gang involvement,67024,98
planning,8,98
motoric immobility,1353,98
intoxication,9,98
fragile x syndrome,9,98
other sexual problems,62792,98
minimization of illness,62354,98
rapid shifting shallow expression of emotion,2888,98
irritable  depression psychiatric signs and symptoms,8,98
breaking and entering,1421,98
decease ability to spell,7,98
responsible for other actions,7,98
humiliate,5,98
decrease concentration  depression psychiatric signs and symptoms,5,98
recurrent para suicidal gestures  self mutilation,85770,98
collision,5,98
other expressive symptoms,1502,98
undue influence of body weight or shape  on self evaluation  eating disorders signs and symptoms,6,98
insight that thoughts are a product of ones own mind,84070,98
interpersonally exploitive  takes advantage of others ,2715,98
concentration intact,6,98
suicidal thoughts,1487,98
sundowning,6,98
intersex conditions,6,98
the food refusal does not follow a traumatic event ,6,98
insecure in oneself,6,98
miserly spending,1445,98
the food refusal is not due to an underlying medical illness ,6,98
simplified grammatical structure,1436,98
ever been bullied,79284,98
imprisonment,2793,98
borderline intellectual functioning,6,98
auditory hallucinations of multiple voice  thought disorders psychiatric signs and symptoms,7,98
sob,3,98
affective instability,150124,98
amnesia about event,150414,98
distractibility,163709,98
nystagmus,2132,98
important activities are given up because of substance use,536147,98
citizenship not clear,1,98
hypervigilance,529360,98
rapid pulse        bpm ,2118,98
altered level of consciousness,1,98
theatrical,1,98
flight of ideas,496279,98
obese,1,98
nightmare with awakening,2134,98
psychological distress at cues that symbolize trauma,470298,98
blurts out answers,2103,98
adrenal cortical steroids,1,98
mute at relatives,2090,98
rebellious,1,98
eps,1,98
divorced,1,98
sequencing,1,98
passionate,1,98
irritability,446367,98
swea,1,98
distractible,538559,98
olfactory hallucinations of human smell,1,98
substance taken in larger amounts than intended,559347,98
decrease concentration,1212720,98
loss of touch  pain sensations,1,98
ruminations,2259,98
unsupportive environment for sobriety,878975,98
unstable vitals  autonomic hyperactivity ,868321,98
wishes he she were dead,2227,98
fidgets,2306,98
hyperacusis,1,98
unpredictability,1,98
decreased concentration,688766,98
severe physical problems,663296,98
partner infidelity,1,98
hard stuff,1,98
able to contract for safety,1,98
random destruction,1,98
dental erosion,2379,98
conflicts over money,2148,98
substantial time spent obtaining  using or using the substance,582210,98
easily distracted by extraneous stimuli,578101,98
exercises regularly,2383,98
psychological distress  expressed in language or behavior  at exposure to reminders of the trauma ,2144,98
calling out,1,98
disc disease  thoracic or lumbar ,9,98
recent ingestion of alcohol,1,98
inappropriate guilt  depression psychiatric signs and symptoms,1,98
shortness of breath,225933,98
olfactory hallucinations of flower smell,2,98
groping  picking,2,98
libido is decreased,2,98
exposure invokes a panic attack,1861,98
dlrow incorrect,2,98
eviction notice received,1838,98
migraine,2522,98
helpless  uncomfortable when alone,2,98
dyskinesia,2,98
trembling  shaking,188570,98
larger amounts consumed than intended,175386,98
thought process logical directed,2,98
eckokinesis  imitation of other s movement ,2525,98
bears grudges  unforgiving of insults or slights,2533,98
exposure to trauma  bodily harm,1794,98
breaking and entering,2,98
accepts the need for complete abstinence,174294,98
ejaculation with minimal stimulation before or shortly after penetration and before the person wishes it,2,98
provoke,2,98
palpitations  pounding heart,183795,98
distressing experience involving faith,2,98
never married,2,98
rh incompatibility,2,98
awaiting dd waiver,1,98
less need for sleep  mania behavioral signs and symptoms,1,98
poor concentration,391320,98
congenital diagnosis,2,98
hypervigilance ,2428,98
loose stools,1989,98
recent cessation or reduction of opioid that has been heavy and prolonged,2,98
physiological arousal to cues about event,387587,98
dislikes reluctant to engage in tasks requiring sustained mental effort,385862,98
somatic symptoms,1982,98
pressure to use substance by other,1969,98
inflated self esteem grandiosity,330400,98
pacing,1963,98
neglect abuse,1958,98
consumption of large quantities,311734,98
section   housing,1948,98
elevated temperature,2,98
well groomed,2,98
decreased organizational skills,2,98
easily fatigued,303170,98
excessive involvement pleasurable activities,289865,98
illiteracy client,1,98
hypothermia,1342,98
inappropriately runs about,7,98
demanding,2889,98
discrimination,23,98
exaggerate achievements and talents,1079,98
irritable,36464,98
upcoming trial,3067,98
childlike,23,98
shirking,24,98
slowed down,24,98
crystal,24,98
acute onset of symptoms      minutes,3060,98
gambling seen as a necessity,24,98
tense posture,25,98
meets ptsd criteria,25,98
avoidance of distress from  being on bridges,25,98
absolute,1027,98
operating while intoxicated,1026,98
minimization of blame,35019,98
has an accent,26,98
blended extended family problems,1022,98
insecure,25,98
disoriented,3053,98
distress on cues to event,23,98
ill at ease,23,98
derealization  thought disorders psychiatric signs and symptoms,20,98
dreamless,20,98
snorting,3004,98
auditory hallucinations unspecified  thought disorders psychiatric signs and symptoms,20,98
suicidal ideation  depression psychiatric signs and symptoms,20,98
alcohol,1112,98
coordination problems interfere with academic daily living activities,1112,98
acculturation problem,1110,98
avoid stimuli about trauma  activities,1106,98
circumlocutions to avoid problematic words,21,98
agoraphobia,38311,98
smearing,3031,98
impaired judgment,36598,98
preoccupation with restricted pattern of interest,61334,98
shy,22,98
dislikes work,1093,98
exposure to trauma  rape,1092,98
unsubstantiated fears of on infidelity of spouse,1090,98
normal mental status exam,23,98
checking that you did not will not harm yourself,26,98
language barrier,1021,98
grandiosity,34204,98
engages in a regular routine,1019,98
no communication,29991,98
impulsive,29846,98
no stable contact with siblings,971,98
logical directed,33,98
underachievement,29631,98
few consistent simple intentional gestures,33,98
conflict,33,98
repeated changes of caretaker preventing formation of stable attachments,28950,98
doing things to prevent harming others,33,98
can t sit still,949,98
gambling,949,98
academic problems,28626,98
palpitations,28352,98
apathetic,35,98
lanugo,937,98
phobias,25728,98
makes careless mistakes in schoolwork,36,98
makes careless mistakes in other activities,36,98
hypoparathyroidism,37,98
bickering,32,98
continued use despite medical problem,40655,98
discrepancy between symptoms and objective findings,975,98
no relationship problems,3194,98
belief in telepathy,27,98
grief,31837,98
unstable,27,98
eeg abnormal,1016,98
disorganized behavior,31155,98
phobic situation is avoided,31003,98
unspecified delusions,30912,98
insufficient welfare support,1006,98
tooth brushing,29,98
tuning out from conversation,29,98
twitches,29,98
b   deficiency,30,98
unconstrained,30,98
hyper vigilance,31,98
history of arrest,30018,98
dystonic,32,98
diuresis,989,98
hospitalized,988,98
thc,32,98
repeating words,3194,98
poor coordination,19,98
oppositional,3039,98
tactile hallucinations,41066,98
health problems in family,1237,98
moist hands,13,98
violation of the law rules,48314,98
mania  period of persistently elevated or irritable mood,2923,98
hypercholesterolemia,1141,98
bankrupt,1223,98
omission of critical parts of sentences,1219,98
suspicious attitude,13,98
discrimination,12,98
thinking about death,1218,98
does not eat regularly,14,98
withdrawal   take substance to avoid symptoms,47960,98
addict,14,98
increased blood pressure,14,98
pseudobulbar palsy,14,98
alcohol use,1204,98
migraine  classical  with aura ,14,98
firm,15,98
situations are avoided,48070,98
decided,15,98
pot,12,98
unsanctioned  developmentally inappropriate eating of non nutritive substances,11,98
enjoys nothing,1330,98
hypothyroid,1325,98
racketeering,9,98
inflexible adherence to specific  nonfunctional routines or rituals,59030,98
elevated  expansive mood  mania psychiatric signs and symptoms,10,98
autonomic instability,1302,98
tolerance   markedly diminished effect,58915,98
inadequate discipline,56716,98
lump in throat,11,98
blackouts,56594,98
spasm of vagina,10,98
over exercising,10,98
posttraumatic play  play that     represents a reenactment of some aspect of the trauma      is compulsively driven      fails to relieve anxiety  and     is more literal and less elaborate and imaginative than usual ,1285,98
impatient,2894,98
fully conscious,10,98
preoccupation with getting rid of primary or secondary sex characteristics,1269,98
linguistic categorization,1264,98
urge involving touching non consenting person,11,98
spinal pain of cervical and thoracic regions,1289,98
itch like sensation in ones scalp,15,98
coordination problems due to medical condition,389,98
excessive worry or anxiety,43089,98
hopeless,43044,98
conflicts over child rearing,1163,98
stereotyped and repetitive motor mannerisms  hand flapping ,41081,98
socially awkward,1173,98
palilalia  repeating sounds over and over ,2970,98
normal developmental milestones,1186,98
compulsions,42117,98
neck stiffness,1152,98
helpless,43371,98
rampant drug use in neighborhood,2969,98
no opinion,19,98
sexually dissatisfied,2976,98
rituals,18,98
paranoia,46757,98
kleptomania,16,98
intolerance of several different foods,18,98
deafness,19,98
pervasive pattern of instability of interpersonal relationship  self image and affect,46279,98
thought process logical directed,19,98
unrealistic expectations,41668,98
gustatory hallucinations of unknown taste,19,98
change in behavior related to panic attacks,103187,99
personality change disinhibition,10103,99
personality change impulse control,21344,99
behavioral change aggressive,5589,99
change in appetite,6303,99
personality change,49431,99
personality change paranoid,9779,99
personality change aggressive behavior,15137,99
impairment in attention,1607,100
qualitative impairment in communication,501,100
cognitive impairment,286,100
cognitive and perceptual distortions,258,100
impairment in occupational function,4255,100
sensing another person is present,2,100
impairment in social function,6133,100
impairment judgment,1057,100
person becomes oriented and alert with no impairment to mental activity,1685,100
marked impairment in functioning,2524,100
poor relationship with co workers,45,101
poor control about worrying,32,101
poor inappropriate social mannerisms,83,101
physically impaired,10,101
poor planning ability,31,101
poor personal hygiene,71,101
poor relationship with spouse  dissociative disorders signs and symptoms   psychological ,20,101
poor organizational skills,74,101
poor learning skills,13,101
job change,405,102
job dissatisfaction,181,102
preference for cross dressing,39,102
preference for repetition  absence of change  and  if change is necessary  change at a slow pace,294,102
laid off from job,390,102
change in cognition   memory deficit,3224,102
preference for playmates of other sex,33,102
job change,971,102
change in cognition   hallucinations,3380,102
quit job,119,102
change in cognition   language deficit,1525,102
change in behavior,2727,102
job skills associated with psychoactive substances,48,102
change in cognition   delusions,1986,102
laid off from job,427,102
poor parenting skills,876,103
insight poor,645,103
poor work ethic,592,103
insight absent,99,103
poor hygiene,1356,103
insight good,244,103
insight,48,103
insight intact,27,103
poor athletic ability,982,103
insight intact,6,103
gender dysphoria,37,104
